COMPANY	RIC	INDEX WEIGHT	PROPERTY TYPE	CAP RANGE	SIZE	LEGACY KEY
Gap Inc	GPS.N	0.00078262				
General Dynamics	GD.N	0.002390332				
General Electric Co	GE.N	0.015751355				
General Mills Inc	GIS.N	0.002190335				
Genuine Parts Co	GPC.N	0.000696196				
Genworth Financial Inc	GNW.N	0.000528717				
Genzyme Corp	GENZ.OQ	0.001700148				
Gilead Sciences Inc	GILD.OQ	0.003126097				
Goldman Sachs Group Inc	GS.N	0.007759549				
Goodrich Corp	GR.N	0.000966428				
Goodyear Tire & Rubber Co	GT.N	0.00022521				
Google Inc	GOOG.OQ	0.014144441				
"Grainger, W.W. Inc"	GWW.N	0.000689707				
HCP Inc	HCP.N	0.001051774				
Halliburton Co	HAL.N	0.002643512				
Harley-Davidson Inc	HOG.N	0.000683473				
Harman Intl Industries Inc	HAR.N	0.00024156				
Harris Corp	HRS.N	0.000548291				
Hartford Finl Services Group	HIG.N	0.000961809				
Hasbro Inc	HAS.N	0.00061155				
Health Care REIT Inc	HCN.N	0.000628112				
"Heinz, H.J. Co"	HNZ.N	0.001454378				
Helmerich & Payne Inc	HP.N	0.000418395				
Hershey Foods Corp	HSY.N	0.000698315				
Hess Corp	HES.N	0.001763608				
Hewlett-Packard Co	HPQ.N	0.008991941				
Home Depot Inc	HD.N	0.00485002				
Honeywell Intl Inc	HON.N	0.00337169				
Hormel Foods Corp	HRL.N	0.000292788				
"Horton, D.R. Inc"	DHI.N	0.00028635				
"Hospira, Inc"	HSP.N	0.000922433				
Host Hotels & Resorts Inc	HST.N	0.000974826				
Hudson City Bancorp	HCBK.OQ	0.000565586				
Humana Inc	HUM.N	0.000948515				
Huntington Bancshares (OH)	HBAN.OQ	0.000368394				
ITT Corporation	ITT.N	0.000797726				
Illinois Tool Works Inc	ITW.N	0.00216357				
Integrys Energy Group Inc	TEG.N	0.000381908				
Intel Corp	INTC.OQ	0.010483169				
IntercontinentalExchange	ICE.N	0.000776694				
Interpublic Group Cos	IPG.N	0.000473041				
Intl Business Machines Corp	IBM.N	0.016768447				
Intl Flavors & Fragrances	IFF.N	0.000373926				
Intl Game Technology	IGT.N	0.000445252				
Intl Paper Co	IP.N	0.001004176				
Intuit Inc	INTU.OQ	0.001265728				
Intuitive Surgical Inc	ISRG.OQ	0.000968445				
Invesco Ltd	IVZ.N	0.001013776				
Iron Mountain Inc	IRM.N	0.00041348				
JDS Uniphase Corp	JDSU.OQ	0.000218122				
JP Morgan Chase & Co	JPM.N	0.013545523				
Jabil Circuit Inc	JBL.N	0.000271346				
Jacobs Engineering Group Inc	JEC.N	0.000460542				
Janus Capital Group Inc	JNS.N	0.000187906				
Johnson & Johnson	JNJ.N	0.016263026				
Johnson Controls Inc	JCI.N	0.002188724				
Juniper Networks Inc	JNPR.N	0.001548808				
KLA-Tencor Corporation	KLAC.OQ	0.000556424				
Kellogg Co	K.N	0.001197116				
KeyCorp	KEY.N	0.000682632				
Kimberly-Clark	KMB.N	0.002381517				
Kimco Realty Corp	KIM.N	0.000639924				
King Pharmaceuticals Inc	KG.N	0.000326753				
Kohl's Corp	KSS.N	0.00145836				
Kraft Foods Inc A	KFT.N	0.005132587				
Kroger Co	KR.N	0.00133764				
L-3 Communications Holdings	LLL.N	0.000773624				
LSI Corporation	LSI.N	0.000317384				
Lab Corp of America Hldgs	LH.N	0.0007854				
Legg Mason Inc	LM.N	0.00046072				
Leggett & Platt	LEG.N	0.00027544				
Lennar Corp	LEN.N	0.000229771				
Leucadia National Corp (NY)	LUK.N	0.000471073				
Lexmark International Inc	LXK.N	0.000283925				
Life Technologies Corp	LIFE.OQ	0.000855505				
"Lilly, Eli & Co"	LLY.N	0.003318371				
Limited Brands Inc	LTD.N	0.000729751				
Lincoln National Corp	LNC.N	0.000731002				
Linear Technology Corp	LLTC.OQ	0.00066385				
Lockheed Martin	LMT.N	0.001968237				
Loews Corp	L.N	0.00117168				
Lorillard Inc	LO.N	0.001229969				
Lowe's Cos Inc	LOW.N	0.00284306				
M&T Bank Corp	MTB.N	0.000615541				
MEMC Electronic Materials	WFR.N	0.00025854				
Macy's Inc	M.N	0.000938387				
Marathon Oil Corp	MRO.N	0.002204584				
Marriott Intl A	MAR.N	0.001005098				
Marsh & McLennan Companies	MMC.N	0.001265525				
Marshall & Ilsley Corp (WI)	MI.N	0.000265779				
Masco Corp	MAS.N	0.000358193				
Massey Energy Co	MEE.N	0.000393431				
Mastercard Inc A	MA.N	0.002201578				
Mattel Inc	MAT.OQ	0.000800623				
McAfee Inc	MFE.N	0.00066457				
McCormick & Co	MKC.N	0.000542118				
McDonald's Corp	MCD.N	0.00771255				
McGraw-Hill Cos Inc	MHP.N	0.001085352				
McKesson Corp	MCK.N	0.001617869				
Mead Johnson Nutrition Co	MJN.N	0.001123956				
MeadWestvaco Corp	MWV.N	0.000406982				
Medco Health Solutions Inc	MHS.N	0.002324726				
Medtronic Inc	MDT.N	0.003533324				
Merck & Co Inc	MRK.N	0.010413849				
Meredith Corp	MDP.N	0.000114771				
Metlife Inc	MET.N	0.003369727				
Metropcs Communications Inc	PCS.N	0.000260928				
Microchip Technology Inc	MCHP.OQ	0.000558009				
Micron Technology Inc	MU.OQ	0.000640889				
Microsoft Corp	MSFT.OQ	0.019285493				
Molex Inc	MOLX.OQ	0.000259817				
Molson Coors Brewing Co B	TAP.N	0.000689743				
Monsanto Co.	MON.N	0.002952697				
Monster Worldwide Inc	MWW.N	0.000220416				
Moody's Corp	MCO.N	0.000503608				
Morgan Stanley	MS.N	0.003177611				
Motorola Inc	MOT.N	0.001725729				
Murphy Oil Corp	MUR.N	0.001167323				
Mylan Inc.	MYL.OQ	0.000576446				
NICOR Inc	GAS.N	0.000201468				
NIKE Inc B	NKE.N	0.002919741				
NRG Energy	NRG.N	0.000465452				
NYSE Euronext	NYX.N	0.000713138				
Nabors Industries Ltd	NBR.N	0.000548167				
Nasdaq OMX Group/The	NDAQ.OQ	0.000286004				
National Oilwell Varco Inc	NOV.N	0.00214862				
National Semiconductor	NSM.N	0.000298241				
NetApp Inc	NTAP.OQ	0.001769025				
New York Times Co A	NYT.N	8.3007E-05				
Newell Rubbermaid Inc	NWL.N	0.000520518				
Newmont Mining Corp	NEM.N	0.002725568				
News Corporation	NWSA.OQ	0.003081535				
NextEra Energy Inc	NEE.N	0.002090882				
Nisource Inc	NI.N	0.00044628				
Noble Energy Inc	NBL.N	0.001331123				
Nordstrom Inc	JWN.N	0.000611939				
Norfolk Southern Corp	NSC.N	0.002125302				
Northeast Utilities	NU.N	0.000519046				
Northern Trust Corp (IL)	NTRS.OQ	0.001132446				
Northrop Grumman Corp	NOC.N	0.001756472				
Novell Inc	NOVL.OQ	0.000186703				
Novellus Systems Inc	NVLS.OQ	0.00024866				
Nucor Corp	NUE.N	0.001129914				
Nvidia Corp	NVDA.OQ	0.000652028				
O'Reilly Automotive	ORLY.OQ	0.000733226				
ONEOK Inc	OKE.N	0.000495148				
Occidental Petroleum	OXY.N	0.006119272				
Office Depot Inc	ODP.N	0.000112993				
Omnicom Group	OMC.N	0.001241999				
Oracle Corp	ORCL.OQ	0.010577626				
Owens-Illinois Inc	OI.N	0.000416161				
PACCAR Inc	PCAR.OQ	0.001783701				
PG&E Corporation	PCG.N	0.001736834				
PNC Finl Services Group	PNC.N	0.002568905				
PPG Industries Inc	PPG.N	0.001185131				
PPL Corp	PPL.N	0.001196628				
Pactiv Corporation	PTV.N	0.000417305				
Pall Corp	PLL.N	0.000467123				
Parker-Hannifin Corp	PH.N	0.001169574				
Patterson Cos Inc	PDCO.OQ	0.000250909				
Paychex Inc	PAYX.OQ	0.000833152				
Peabody Energy Corp	BTU.N	0.001348932				
"Penney, J.C. Inc"	JCP.N	0.000687308				
People's United Financial Inc	PBCT.OQ	0.000427474				
Pepco Holdings Inc	POM.N	0.000399594				
PepsiCo Inc	PEP.N	0.009675656				
PerkinElmer Inc	PKI.N	0.000257528				
Pfizer Inc	PFE.N	0.01297208				
